obs_idx,AI,Human,complexity,ai_minus_human
0,1.0,1.0,Low Complexity,0.0
1,0.9090909090909091,0.8333333333333334,Low Complexity,0.07575757575757569
2,0.8333333333333334,1.0,High Complexity,-0.16666666666666663
3,0.8181818181818182,0.7272727272727273,Low Complexity,0.09090909090909094
4,0.9090909090909091,0.8181818181818182,Low Complexity,0.09090909090909083
5,1.0,1.0,High Complexity,0.0
6,0.8,0.9,Low Complexity,-0.09999999999999998
7,1.0,0.9230769230769231,High Complexity,0.07692307692307687
8,1.0,0.9,Low Complexity,0.09999999999999998
9,1.0,0.8888888888888888,Low Complexity,0.11111111111111116
10,1.0,0.8333333333333334,High Complexity,0.16666666666666663
11,0.9285714285714286,0.9285714285714286,High Complexity,0.0
12,0.8181818181818182,0.9090909090909091,Low Complexity,-0.09090909090909083
13,1.0,0.8,Low Complexity,0.19999999999999996
14,1.0,0.3333333333333333,Low Complexity,0.6666666666666667
15,1.0,1.0,Low Complexity,0.0
16,0.8888888888888888,1.0,Low Complexity,-0.11111111111111116
17,1.0,1.0,High Complexity,0.0
18,1.0,1.0,Low Complexity,0.0
19,1.0,0.875,Low Complexity,0.125
20,1.0,0.9285714285714286,High Complexity,0.0714285714285714
21,1.0,1.0,High Complexity,0.0
22,0.9230769230769231,1.0,High Complexity,-0.07692307692307687
23,1.0,1.0,High Complexity,0.0
24,1.0,0.9090909090909091,Low Complexity,0.09090909090909094
25,1.0,0.8461538461538461,High Complexity,0.15384615384615385
26,0.9230769230769231,0.9230769230769231,High Complexity,0.0
27,0.9,0.7,Low Complexity,0.20000000000000007
28,1.0,0.8571428571428571,High Complexity,0.1428571428571429
29,1.0,0.8333333333333334,High Complexity,0.16666666666666663
30,1.0,1.0,High Complexity,0.0
31,1.0,1.0,High Complexity,0.0
32,1.0,1.0,High Complexity,0.0
33,1.0,1.0,High Complexity,0.0
34,0.8571428571428571,1.0,Low Complexity,-0.1428571428571429
35,1.0,1.0,Low Complexity,0.0
36,1.0,1.0,Low Complexity,0.0
37,0.7142857142857143,0.9285714285714286,Low Complexity,-0.2142857142857143
38,0.8571428571428571,1.0,High Complexity,-0.1428571428571429
39,1.0,1.0,Low Complexity,0.0
40,1.0,0.9285714285714286,High Complexity,0.0714285714285714
41,1.0,0.9285714285714286,High Complexity,0.0714285714285714
42,0.9285714285714286,1.0,Low Complexity,-0.0714285714285714
43,0.9,0.9,Low Complexity,0.0
44,1.0,1.0,Low Complexity,0.0
45,1.0,1.0,High Complexity,0.0
46,1.0,1.0,Low Complexity,0.0
47,1.0,0.9166666666666666,High Complexity,0.08333333333333337
48,1.0,1.0,High Complexity,0.0
49,1.0,1.0,High Complexity,0.0
50,1.0,1.0,High Complexity,0.0
51,1.0,1.0,Low Complexity,0.0
52,0.9166666666666666,1.0,High Complexity,-0.08333333333333337
53,1.0,1.0,High Complexity,0.0
54,1.0,0.6363636363636364,Low Complexity,0.36363636363636365
55,1.0,0.9090909090909091,Low Complexity,0.09090909090909094
56,1.0,0.9090909090909091,Low Complexity,0.09090909090909094
57,0.9166666666666666,1.0,High Complexity,-0.08333333333333337
58,1.0,1.0,High Complexity,0.0
59,1.0,0.7272727272727273,Low Complexity,0.2727272727272727
60,0.8181818181818182,0.8181818181818182,Low Complexity,0.0
61,1.0,0.9166666666666666,High Complexity,0.08333333333333337
62,1.0,0.9166666666666666,High Complexity,0.08333333333333337
63,0.9230769230769231,0.9230769230769231,High Complexity,0.0
64,1.0,0.9230769230769231,High Complexity,0.07692307692307687
65,0.9166666666666666,0.9166666666666666,High Complexity,0.0
66,1.0,0.9,Low Complexity,0.09999999999999998
67,0.9285714285714286,0.9285714285714286,High Complexity,0.0
68,1.0,0.8181818181818182,Low Complexity,0.18181818181818177
69,1.0,0.8333333333333334,High Complexity,0.16666666666666663
70,1.0,0.5833333333333334,High Complexity,0.41666666666666663
71,1.0,0.35714285714285715,High Complexity,0.6428571428571428
72,0.9166666666666666,0.6666666666666666,High Complexity,0.25
73,1.0,0.6666666666666666,High Complexity,0.33333333333333337
74,1.0,0.8461538461538461,High Complexity,0.15384615384615385
75,0.8333333333333334,0.75,High Complexity,0.08333333333333337
76,0.9230769230769231,0.8461538461538461,High Complexity,0.07692307692307698
77,0.9230769230769231,0.6923076923076923,High Complexity,0.23076923076923084
78,0.9166666666666666,0.8333333333333334,High Complexity,0.08333333333333326
79,1.0,0.9285714285714286,High Complexity,0.0714285714285714
80,0.9166666666666666,0.6666666666666666,High Complexity,0.25
81,1.0,0.8333333333333334,High Complexity,0.16666666666666663
82,1.0,0.9166666666666666,High Complexity,0.08333333333333337
83,1.0,0.9230769230769231,High Complexity,0.07692307692307687
84,1.0,0.8461538461538461,High Complexity,0.15384615384615385
85,1.0,0.8461538461538461,High Complexity,0.15384615384615385
86,1.0,0.8461538461538461,High Complexity,0.15384615384615385
87,1.0,0.9166666666666666,High Complexity,0.08333333333333337
88,1.0,0.9230769230769231,High Complexity,0.07692307692307687
89,1.0,0.9166666666666666,High Complexity,0.08333333333333337
90,1.0,0.9230769230769231,High Complexity,0.07692307692307687
91,1.0,0.7272727272727273,Low Complexity,0.2727272727272727
92,1.0,0.7857142857142857,High Complexity,0.2142857142857143
93,0.9090909090909091,0.8181818181818182,Low Complexity,0.09090909090909083
94,1.0,0.8571428571428571,Low Complexity,0.1428571428571429
95,1.0,0.8571428571428571,High Complexity,0.1428571428571429
96,1.0,0.9285714285714286,High Complexity,0.0714285714285714
97,1.0,0.8571428571428571,Low Complexity,0.1428571428571429
98,1.0,0.8571428571428571,High Complexity,0.1428571428571429
99,0.7142857142857143,0.9285714285714286,Low Complexity,-0.2142857142857143
100,1.0,0.9285714285714286,High Complexity,0.0714285714285714
101,1.0,0.8571428571428571,High Complexity,0.1428571428571429
102,1.0,0.8571428571428571,High Complexity,0.1428571428571429
103,0.8571428571428571,0.9285714285714286,Low Complexity,-0.07142857142857151
104,1.0,0.8571428571428571,High Complexity,0.1428571428571429
105,0.9285714285714286,0.8571428571428571,High Complexity,0.07142857142857151
106,1.0,0.9285714285714286,High Complexity,0.0714285714285714
107,0.9285714285714286,0.8571428571428571,High Complexity,0.07142857142857151
108,1.0,0.8571428571428571,Low Complexity,0.1428571428571429
109,1.0,0.8571428571428571,High Complexity,0.1428571428571429
110,0.9285714285714286,0.9285714285714286,High Complexity,0.0
111,1.0,0.8571428571428571,High Complexity,0.1428571428571429
112,0.9285714285714286,0.8571428571428571,High Complexity,0.07142857142857151
113,1.0,0.9285714285714286,Low Complexity,0.0714285714285714
114,1.0,0.9285714285714286,Low Complexity,0.0714285714285714
115,1.0,0.9,Low Complexity,0.09999999999999998
116,1.0,0.8,Low Complexity,0.19999999999999996
117,1.0,0.75,High Complexity,0.25
118,1.0,0.75,High Complexity,0.25
119,0.9090909090909091,0.5454545454545454,Low Complexity,0.36363636363636365
120,1.0,0.6923076923076923,High Complexity,0.3076923076923077
121,0.9285714285714286,0.8571428571428571,High Complexity,0.07142857142857151
122,1.0,0.75,High Complexity,0.25
123,1.0,0.7857142857142857,High Complexity,0.2142857142857143
124,1.0,0.9,Low Complexity,0.09999999999999998
125,1.0,0.8,Low Complexity,0.19999999999999996
126,0.8,0.9,Low Complexity,-0.09999999999999998
127,1.0,0.7272727272727273,Low Complexity,0.2727272727272727
128,1.0,0.8181818181818182,Low Complexity,0.18181818181818177
129,0.75,0.75,High Complexity,0.0
130,1.0,0.9,Low Complexity,0.09999999999999998
131,1.0,0.8181818181818182,Low Complexity,0.18181818181818177
132,1.0,0.9090909090909091,Low Complexity,0.09090909090909094
133,1.0,0.9,Low Complexity,0.09999999999999998
134,1.0,0.9166666666666666,High Complexity,0.08333333333333337
135,0.9090909090909091,0.9090909090909091,Low Complexity,0.0
136,1.0,0.7142857142857143,High Complexity,0.2857142857142857
137,0.7857142857142857,0.7857142857142857,High Complexity,0.0
138,1.0,0.8333333333333334,High Complexity,0.16666666666666663
139,1.0,0.9166666666666666,High Complexity,0.08333333333333337
140,0.9166666666666666,0.9166666666666666,High Complexity,0.0
141,1.0,0.9,Low Complexity,0.09999999999999998
142,0.9,0.9,Low Complexity,0.0
143,0.8888888888888888,0.8888888888888888,Low Complexity,0.0
144,1.0,0.9166666666666666,High Complexity,0.08333333333333337
145,0.7692307692307693,0.6923076923076923,High Complexity,0.07692307692307698
146,0.8333333333333334,0.16666666666666666,High Complexity,0.6666666666666667
147,0.9285714285714286,0.5714285714285714,High Complexity,0.3571428571428572
148,1.0,0.8461538461538461,High Complexity,0.15384615384615385
149,0.9090909090909091,0.8181818181818182,Low Complexity,0.09090909090909083
150,0.9166666666666666,0.8333333333333334,High Complexity,0.08333333333333326
151,1.0,0.9230769230769231,High Complexity,0.07692307692307687
152,1.0,0.9090909090909091,Low Complexity,0.09090909090909094
153,1.0,1.0,Low Complexity,0.0
154,0.9166666666666666,1.0,High Complexity,-0.08333333333333337
155,1.0,1.0,Low Complexity,0.0
156,0.9090909090909091,0.8181818181818182,Low Complexity,0.09090909090909083
157,1.0,0.8181818181818182,Low Complexity,0.18181818181818177
158,0.9,0.9,Low Complexity,0.0
159,1.0,1.0,Low Complexity,0.0
160,1.0,0.9230769230769231,High Complexity,0.07692307692307687
161,0.9230769230769231,1.0,High Complexity,-0.07692307692307687
162,0.9090909090909091,1.0,Low Complexity,-0.09090909090909094
163,0.8461538461538461,1.0,High Complexity,-0.15384615384615385
164,1.0,0.9285714285714286,High Complexity,0.0714285714285714
165,1.0,1.0,High Complexity,0.0
166,1.0,1.0,Low Complexity,0.0
167,1.0,1.0,Low Complexity,0.0
168,1.0,1.0,Low Complexity,0.0
169,1.0,1.0,Low Complexity,0.0
170,0.9285714285714286,0.9285714285714286,Low Complexity,0.0
171,1.0,1.0,Low Complexity,0.0
172,0.9285714285714286,1.0,High Complexity,-0.0714285714285714
173,1.0,1.0,Low Complexity,0.0
174,0.6428571428571429,0.9285714285714286,Low Complexity,-0.2857142857142857
175,1.0,0.9285714285714286,Low Complexity,0.0714285714285714
176,1.0,1.0,Low Complexity,0.0
177,1.0,1.0,Low Complexity,0.0
178,0.9285714285714286,1.0,Low Complexity,-0.0714285714285714
179,1.0,1.0,Low Complexity,0.0
180,1.0,1.0,Low Complexity,0.0
181,1.0,1.0,Low Complexity,0.0
182,1.0,1.0,Low Complexity,0.0
183,1.0,0.8,Low Complexity,0.19999999999999996
184,1.0,1.0,Low Complexity,0.0
185,1.0,1.0,High Complexity,0.0
186,1.0,1.0,Low Complexity,0.0
187,0.8888888888888888,1.0,Low Complexity,-0.11111111111111116
188,1.0,1.0,Low Complexity,0.0
189,1.0,1.0,Low Complexity,0.0
190,0.9,0.8,Low Complexity,0.09999999999999998
191,1.0,0.7,Low Complexity,0.30000000000000004
192,0.9090909090909091,1.0,Low Complexity,-0.09090909090909094
193,1.0,1.0,Low Complexity,0.0
194,1.0,1.0,Low Complexity,0.0
195,0.9,1.0,Low Complexity,-0.09999999999999998
196,1.0,0.7777777777777778,Low Complexity,0.2222222222222222
197,1.0,0.9,Low Complexity,0.09999999999999998
198,0.7272727272727273,0.9090909090909091,Low Complexity,-0.18181818181818177
199,1.0,0.7272727272727273,Low Complexity,0.2727272727272727
